Features,Label
"The pay is not just for the work, but for the knowledge and experience, which NPs certainly can't remotely compare to physicians.",No
"Shockingly, most females prefer a female Ob/Gyn so they see more patients.  Meanwhile payments for Ob/Gyn services are horribly low. Across the country hospitals are closing their Ob department as they lose money.  Female healthy is low priority.  

Many health organizations alot 15 mins for a female Ob exam. While a male with a urinary problem gets 45 mins with a urologist who gets a significantly higher payment from the govt or insurer.  

NPs were brought in to alleviate the crunch on physicians by dealing with simple routine cases.  Docs deal with these too but also have 8 or more years of training/debt and deal with the complex life or death problems.  Because I did some welding in HS doesn't mean I should be paid the same as an underwater welder. 

The hope must be that the NPs lawyers can pull a jury who thinks anyone wearing scrubs is essentially a doc so they should all be paid the same. Suspect the judge will knock the case out on motion practice long before trial.",Yes
I don't get why it's confusing? One has less education and one has more? Like an NP Vs a physician.,No
"No time for a phone call when you're 50 meters away lol.

But that does remind me of my EMT days in Oakland back in the mid 2000s where we would call the ER from our Nokias and give them a heads up that we were coming in with a disaster-splash and they would be like, ""mm-hmm, mm-hmm, okay, **click*/*""

And then we'd show up and watch the patient code on the gurney while the intake nurse asked me to spell their last name for the third time.",Yes
"I don't work in the OR, but reading the order of suspension makes it sound like they couldn't actually see what he was doing (especially considering the surgeon himself was apparently operating blind too),until he handed them a whole ass liver at the end. 

At that point the patient had been dead for 15 minutes already. This report doesn't say so, but *surely* multiple OR staff spoke up and reported this after the fact,right?!",Yes
"There's precedent.  The federal govt has found New York City guilty of gender discrimination by not putting  nursing on the physically demanding jobs list.  

https://www.justice.gov/usao-edny/page/file/1396636/dl?inline

18. The field of nursing has been, and remains, predominantly female.

19. In 2013, the U.S. Department of Labor reported that 90% of registered nurses
were women. See United States Department of Labor, Women's Bureau, 30 Leading Occupations of Employed Women, 2013 Annual Averages, https://www.dol.gov/wb/stats/ leadoccupations.htm.

20. Nursing involves the performance of duties that require heavy physical exertion, as well as a tremendous amount of physical effort, on a daily basis.

21. Nurses' daily physical responsibilities include lifting, moving, turning, transferring, supporting and restraining patients, many of whom are heavy, sometimes mentally ill or intoxicated, and even combative. The majority of a nurse's workday involves walking or standing. Moreover, nurses are vulnerable to workplace violence, in particular, physical assault from patients or patient family members.

22. The physical nature of performing nursing duties substantially increases the risk of back injuries. Nurses suffer a disproportionate number of musculoskeletal disorders during their careers, stemming from the cumulative effect of repeated manual handling of patients.

23. More than half of nurses complain of chronic back pain and 38% of nurses sustain
significant back injuries that require leave from work.


The policies and practices of defendant City of New York described in Paragraphs 1 through 30, supra, constitute a pattern or practice of discrimination with regard to City- employed Nurses with respect to their compensation and the terms, conditions, and privileges of employment, because of their sex, in violation of Section 707 of Title VII, 42 U.S.C. § 2000e-",No
"For something this unbelievably extreme, I am having so much trouble wrapping my head around the *why...* since it is so far beyond just incompetence... clearly I am intellectualizing as a coping technique since in the first post about this I figured there had to be more to the story that explained why certain anatomical anomalies could be present to make it more in the range of incompetent but not full on crazy. Outside of substance abuse,  which makes sense, what else? Acute psychosis (maybe a manic episode with psychosis to explain the grandiosity of insisting the liver was a spleen to pathology), with but early enough in the psychosis to not appear frankly psychotic? Some other acute psychosis? Something neuropsychiatric like maybe early Huntington's or Lewy Body? I don't work in neuropsych, but the craziness of it reminded me of the case of Dr. Benjamin Gilmer (great This American Life podcast episode [Dr. Gilmer and Mr. Hyde](https://www.thisamericanlife.org/492/dr-gilmer-and-mr-hyde). 

The big clue here is that staff agreed to work with him that day so even if he was kinda sketchy at baseline, it couldn't have been anything close to this, AND it sounds like they were somewhat paralyzed in the moment by the complete shock and unbelievability of what was happening- so yeah, I all I can come up with is a lot of meth or some other drug(s), acute early psychosis, or an undiagnosed neuropsychiatric condition. I guess the horse in this scenario is probably a lot of meth/drugs. Just... wow.",Yes
"Well the general thought over this is, that the NP(s) in question haven't really thought through this, surprise. Let them give equal payment. Now which profession are hospitals/ clinics more likely to hire, physicians or midlevels, who can do less and who need more supervision?",No
"Agreed.  My office is nicely nestled inside of our hospital and gives us access to almost immediate labs and imaging. We have one urgent care slot an hour for same day appointments so I feel like I've cross trained in both urgent care and family med. I'm sure once my patient panel grows to unreasonable limits that the urgent care visits will slow down, but it's nice to throw in a URI or two after seeing my cirrhosis and ESRD patients.",No
"This sounds like a big mess long before the liver came out. Can someone tell me what the real idea was for the surgery?

Why didn't anyone anticipate the mega colon? The colon would be pretty obvious on pre-op X-rays. The abdomen would be distended.

The picture I get, you slice open the abdomen and colon comes spilling out like party balloons. How do you see anything?

Then you dissect out the wrong vessel and transect the IVC. The field immediately fills up with blood and the patient codes. You can't see anything, but now you are up to your elbows in distended colon swimming in a pit of blood. They are doing CPR. Everything is sloshing back and forth. You don't have enough suction to get ahead.

Removing the liver is a post mortem event. You already killed the patient at the IVC laceration. Take out anything you want.",No
"Someone still trying to point the finger my way, I'm sure.

""Blood loss would have been less extreme if anesthesia kept BP lower.""

I wish I was being facetious. A spine surgeon documented this and told something to that effect to the family after he put a screw through the common iliac and killed a patient.",Yes
"Minimum wage doesn't lend itself well to doctor shopping. The reason your disheveled patient may be agitated can easily be attributed to:  literal pain, loss of time of work, having to arrange for travel. They are more likely to ""wait it out"". The office visit = gas, the medication = groceries. So to be to withstand so much before you seek care and the sacrifice you must make to present for medical care to be denied it arbitrarily based on the mood/bias of the doctor you see that day...  I don't know how to not be in pain in America right now.",No
"What're the medical tropes you see that make you laugh or just get your goat?

I've been binge-watching ""The Mentalist"" -- in one episode, he knows someone's not a doctor because their handwriting is legible, and, in another, IDs a victim as a doc by their crappy handwriting. And i felt called out.",No
"Yeah, like now where am I going to find a doctor who's willing to go ""eeny, meeny, miny, moe"" with my organs to determine which one he wants to remove?",Yes
"> wheels to imaging, sits in the control room while the study is performed, reads the study, does some procedure

I have actually done that, when a patient is very unstable, and it's a weekend or holiday, and there's not much staff. I have never ever drawn labs on the floor (only in the trauma bay with a femoral stick) or looked at slides (other than a path rotation).",No
"The pacu and floor nurses afterwards marking the patient off the list ""yup, knew he wasn't come back to us by cancellation or otherwise""


I didn't see nothing this bad in the OR during covid, but we saw some wild things and I totally can visualize in my head how this entire circus went down.",Yes
"Ok. As a medical doctor, if I ever had to go through alcohol withdrawal, I would not want it to be managed by a psychiatrist. It warrants medical supervision. Of course there is some mild withdrawal that can be managed in an outpatient setting, but if it makes you sick enough to be in a hospital, you should be in a medical unit and may even require telemetry.",No
"Tangible data. Monthly revenue, billing vs total. Yearly same thing. You can track procedures. Number of patients. Make sure you have access to all of these.",No
"Has your gestalt been rigorously tested for validity and reliability? I feel like I want to hire some patient actors to check you out, because if medicine can replicate your gestalt nobody will ever have to wonder who is really in pain.",No
"I'm an NP and live in Canada where I'm tied to a physician for consultative purposes ONLY if I need help with a diagnosis or treatment plan, which the requirement will be changing very soon because we have enough NPs to take over that role for new graduates. Also, we have the ability to curbside consult specialists just as a GP would. I practice completely independently to the scope of a GP. The GP has no say over my practice and is not responsible for my practice in any manner. But I would never expect to be paid the same amount. Like 75%? I'd be happy with. 

I'm with the physicians on this one. I didn't have to sacrifice my 20s and early 30s for my career. I started off with a good paying job as an RN after graduation. And now as an NP my patient benchmarks and roster are like half what a physician has to see. But that being said, I think the education argument becomes less once an NP has been practising for several years - considering we don't just graduate and stop learning (if you're a good NP). And the education in Canada is pretty rigorous and standardized and there is more regulation coming down the pipeline that will improve it more. 

That being said, I'm relating this to a family physician, not a different specialty. I'd never agree with NP basic education being similar to another specialist without having additional didactic and residency experience equivalent to that specialist's post grad requirements.   

Plus, aren't these NPs required to have supervision by an MD? They are not independent then. You can't expect to be paid independent wages when someone else's license is at stake.

 I also think that GPs are grossly underpaid compared to other specialties. And NPs are also grossly underpaid. But equal? No. ",Yes
Plenty of NPs equally smart as MDs yep. I don't blame you for looking for work life balance as an NP and I'm not questioning that you're probably a good clinician. But in no way in hell should a NP be paid the same as a Physician.,No
"If it's 7:30 and you have 3 patients you still need to get report on, and you are having a whole tea spill sesh with the secretaries,don't throw a fit when you are called out on it by the very tired off going nurse.

Thank you for coming to my TED talk. 
",Yes
Or assess a patient ,No
I had a dayshift bully me into helping transfer a stable patient down to another unit. They have more staff than we had. They only wanted someone since the bed is difficult to steer. I was almost an hour late leaving the hospital and had an hour drive home. Like look if it was an emergency or the patient was unstable I'd get it. But that wasn't the case. I was so mad I cried half the way home.,Yes
"I worked on a med/surg floor for about 5 yrs.  Saw a lot of admissions from nursing homes.  It was never necessary to know which one they came from, from a medical point of view, but there were definitely a few facilities that became infamous for the condition the patient would be in.  These patients were always the sickest, the dirtiest, untreated and undocumented bed sores and, possibly bed bugs or roaches. One facility even got the nickname ""Gateway to Heaven"" from staff because of the blatant lack of care their residents received.",Yes
"I was my hospital's go-to guy for cognitive assessment of possibly impaired docs and employees.  I've heard several similar stories, but in each case other people--usually nurses-- intervened BEFORE the serious mistake was made.  Granted, I've only had one job for the past 30 years, but it's been decades since I've been in or heard of an OR where hierarchy prevented anyone present from speaking up when they saw something amiss.  There is something seriously wrong in the culture of that hospital.",Yes
"I was in a similar situation when I first started in 2022, albeit in family med. However, even with a doc not necessarily on site full time, there were still a handful of them a phone call away. The other thing to remember is, you're working in a low acuity outpatient setting. If anything ever seems off, no one will ever blame you if you call EMS. It rarely happens, but I have had to do it a couple times. So between your SP and EMS being able to respond in minutes, this should at least give you the peace of mind to go about your day and adjust to the new gig. There will always be a learning curve. Think of it as an opportunity to grow as a clinician. It's turned out to be great for me and my own medical decision making, personally. 

Also, it would be helpful to know some details about why the other PA quit. People leave jobs ALL the time in healthcare. Chasing sign on bonuses and whatnot. But high turnover at a particular office can also be a huge red flag. Do you know why they left? How long they had been with the practice? 

tl;dr don't let this turn you off before you even start. You always have the option of walking away, but it seems to me that it is far too early to make any conclusive decisions about this job. Barring any additional info anyway. Best of luck!",No
"I had a patient scream at the top of their lungs when I die, bury me upside down so the whole world can kiss my ass!",Yes
"I like to know things like patient can be a raging cunt for no reason instead of being blindsided by it. If there are any family members that cause issues.

Otherwise, why they're here, how they move/toilet and any issues you had on your shift that can affect me. The rest I can look up as I need to know.",No
Give clear discharge instructions. Include what the patient needs to do and what they should come back to the ER for. I like knowing what your plan is for a the patient. If this doesn't get clearly communicated ideally in the discharge paperwork the nurse either has to clarify with you or figure out the DC instructions on their own which isn't ideal.,No
"Eh, toileting patients can be really time-consuming, and I don't expect docs to do that. It's also why I'll delegate it if able - I can start a couple of IVs and medicate someone in the time it takes grandma to pee.",No
"Don't write stupid shit like provide a sandwich on your ED orders - it's demeaning af. Find out where the pantry is and provide it yourself, call it building a patient-physician relationship. 


Don't put down an order sheet and then come back every 5 mins to add more. Collect your thoughts. We have 4+ other patients, we don't have time to stay with one patient with you while you tick off items in your plan of care one order at a time. 


Respect your experienced nurses. Ask them their thoughts. Say things like so, how bad is it? How do they look what do you think about... Don't be afraid to share your thoughts, or how you would assess certain things. Everyone wants to learn and improve, especially emerg nurses. 


Good luck :)",Yes
"Welcome to the ED and thanks for asking this. 

I love learning. I was always vocal about that and being so meant a lot of docs would grab me to help with interesting things. Be open to letting those that are curious have opportunities to grow. 
It's a great opportunity to mentor if you're into that at all. 

Do your best to lead with kindness. 

Champion mental health for all of us, including you. 

Reassure the rookies with confidence, humor, and support. 

Communicate. Really important to stay in the loop when we're interacting much more with individual patients and families. 

Know when to ask for help and demand the same from your nurses. 

Good luck!",No
"I had a doctor ask me to find the ultrasound for him. I finished what I was doing and went looking for it. I found it on the other side of the ED, with that same doctor standing next to it talking to another doctor. Then he asked me to take it back to the room he needed it in and proceeded to follow right behind me to that room.

It's like seriously?",Yes
"I understand that and respect that, but if I know I'm getting report from long-winded nurses, I will try to avoid them first, too. I also have years of experience where I will tell long-winded that I want the cut and dry basics, which helps speed things along. But that comes with experience to have the cajones to tell those people to abbreviate report. 

But you are right, where people take too long. But if you're going to pounce, tell me why. *""Rncookiemaker,I got dibs for report to you first because long-winded RN has your other five patients.""*",No
"I had a patient who got transferred to us from another hospital because they had no idea why they were in cardiogenic shock. Young, healthy, no family or personal medical history. Barrage of viral and bacterial workups, numerous vials of blood to test the most rare diseases that could lead to it. Must have drawn hundreds of vials, and even with the patient having an A-line, it was annoying sitting down to chart, and then ""hey we ordered a few more labs that we might need."" I hit em with an annoyed, ""that's the last of it, right?"" They say yes, then they send an intern to tell me they needed other ones a few mins later. It's not hard to discuss among each other for a bit, then decide to order them all together.",Yes
"Oh this is my biggest peeve. I have spent many years flight nursing and I can't tell you how many times my partner and I have arrived to find a tachycardic and tearful intubated patient because the nurse ""gave rocuronium because they wouldn't tolerate the tube"". Like what. A physician ordered a paralytic and a nurse was like oh yeah this is a great idea without fucking sedating a patient. I got to be known as the candyman, I medicated the shit out of everyone (appropriately medicated), I have zero issue with emptying my med box on a patient to make them comfortable. These fools would even start meds to control the hypertension and tachycardia, you know, because the patient was AWARE of literally everything but was paralyzed. There were so many other instances of major injuries and patients receiving one dose of a pain med hours before and nothing else, patients were often in tears or almost in tears when we arrived. For the love, medicate patients, there is nothing wrong with taking care of their pain and/or anxiety but there is something wrong with not taking care of it, SMDH.",Yes
yes I agree with stabilizing patient first if possible. I was disagreeing with your comment about always giving sedation for each intubation  and hoping for the best,No
I'm a student midwife and I have been at hospitals where I could count on this and then I've been at hospitals where the horror stories are true. I'm glad that you take your patients' pain seriously.,Yes
"I start working on the floor next week and im kinda nervous to start. I keep hearing about how my floor is kinda like the wild west of the hospital and if i can make it there, i can make it anywhere.. it's making me nervous about my performance as it's possible i can be let go if by end of orientation im not up to their standards and handling the full patient load. I was under the impression (during my interview) that id get 12 weeks orientation, but i just found out it's 6 weeks. It makes me nervy cuz at another hospital it's 8 weeks for the same ratio, but here is 2 weeks less?? 

I had clinicals in arizona where the ratio was 6pts to 1 nurse, so i thought i could handle 4 pts by end of my orientation. Now i just feel slightly scared after hearing those comments and everything. I kno that we all start somewhere, it just nerve wracking. I also do not want to be let go, so im going to try my best because i tried so hard to land this job. I desperately need this job to work out for me, i cannot go back to being unemployed. Anyways just dumping my thoughts here",Yes
