Features,Label
"Has your gestalt been rigorously tested for validity and reliability? I feel like I want to hire some patient actors to check you out, because if medicine can replicate your gestalt nobody will ever have to wonder who is really in pain.",No
"Anyone who says they never made a mistake, they r either lying or dumb! 
An example of critical thinking is when u go back and review an event, see what went wrong and what can be improved upon. Most of the time you'll find out it's a combination of human error System error etc. 
The healthcare system has had these issues forever. When I worked in the hospital in the 90's, I can think of 4 examples of significant major errors that have changed the way we do things today.
All is well, you're okay, the patient's okay, and move on LOL. The fact that you reported it means you're pretty outstanding!",No
"This is a feature, not a bug. When insurers do not want more patients with a particular type of ailment they simply refuse to credential more providers in the hope that those patients will change plans.",No
It never goes away. Nurses claim to save patients from doctors. But most nurses don't even know basic physiology.,Yes
"NP never made it to med school, she did not go through the grueling and long weeding out process of undergrad, med school and residency for quality control and public safety. She did not pass the difficult tests. She did not do the 10 12 hr shifts for years straight in residency. She did not see enough cases under proper supervision. She did not have to do the hundreds of hours to maintain her medical license and board certifications every few years. She has not been tested and pass the mental endurance a physician has to pass. She's inferior in every way in regard to quality medical care a physician can provide.",Yes
"Reminiscent of Covid, when nurses had no incentive to work with Covid patients or during the peak of Covid. Hospital leadership rarely give a shit to their foot soldiers. It's always about the money.",Yes
"Someone I know is an ""herbalist"". She diagnosed ""acid wave"" in a patient who complained of vague abdominal cramping and early satiety. By the time this patient presented to the ED she had painless jaundice and extreme ascites. Hepatocellular carcinoma. 10L paracentesis removed.

How is this legal?",Yes
"Ask the more senior PAs what their salary trajectory has been like. If they have gotten good raises over time, then doing one year of lower income with good training would be an investment if time. If training is great, then consider it similar to a post grad training program with you having more responsibility to being a self starter as well as for patient care.",No
"I was in a similar situation when I first started in 2022, albeit in family med. However, even with a doc not necessarily on site full time, there were still a handful of them a phone call away. The other thing to remember is, you're working in a low acuity outpatient setting. If anything ever seems off, no one will ever blame you if you call EMS. It rarely happens, but I have had to do it a couple times. So between your SP and EMS being able to respond in minutes, this should at least give you the peace of mind to go about your day and adjust to the new gig. There will always be a learning curve. Think of it as an opportunity to grow as a clinician. It's turned out to be great for me and my own medical decision making, personally. 

Also, it would be helpful to know some details about why the other PA quit. People leave jobs ALL the time in healthcare. Chasing sign on bonuses and whatnot. But high turnover at a particular office can also be a huge red flag. Do you know why they left? How long they had been with the practice? 

tl;dr don't let this turn you off before you even start. You always have the option of walking away, but it seems to me that it is far too early to make any conclusive decisions about this job. Barring any additional info anyway. Best of luck!",No
"I like to know things like patient can be a raging cunt for no reason instead of being blindsided by it. If there are any family members that cause issues.

Otherwise, why they're here, how they move/toilet and any issues you had on your shift that can affect me. The rest I can look up as I need to know.",No
"I don't have advice but solidarity. I don't have near the experience you do, but know that your time is invaluable. I agree, nurses coming out of school don't understand the time it takes to fully understand the patient population. They expect sick patients right out of the gate. There is no patience anymore. I left the NICU because I moved states, I've tried serval different specialties for one reason or another and I've always found myself wanting to go back. I've had the sickest of the sick and I don't need that adrenaline rush anymore. I'm simply happy to have the feeder growers because there is no unit in any hospital like the NICU",No
I had a dayshift bully me into helping transfer a stable patient down to another unit. They have more staff than we had. They only wanted someone since the bed is difficult to steer. I was almost an hour late leaving the hospital and had an hour drive home. Like look if it was an emergency or the patient was unstable I'd get it. But that wasn't the case. I was so mad I cried half the way home.,Yes
"I've worked in healthcare for 15 years (CNA/tech partner/mental health tech) and MOST bodily fluids don't bother me, except for lung butter. Had a patient with a trach shoot lung butter on my forearm while coughing and I almost horfed right there. Mad props to folks that work in respiratory because I absolutely can not.",Yes
"Yeah, it was awful. I'm pretty sure my patient thought I was going crazy. It is like my vision becomes tunneled. I can't think or say proper sentences. I'm in the process of finding a new prescriber right now. I'm just on the 20 mg. I'd love to bump it up.",No
"Everyone brings up drug prices, and while I think that's a fair focus, ridiculous drug prices tend to only affect certain new drugs/ older drugs which get a new indication and thus the companies opportunistically price gouge.  We need to focus more on the fact Americans are being lied to that they can readily get care in general. I live in the Sacramento area, it's actually a happening place where a lot of people are moving, but a number of my patients can't get into a primary care physician for 3 months if they have Cadillac insurance, more if they have one of the many plans that have been dropped by most systems in my area.  The state expanded Medicaid coverage massively last year, but both pcps and specialty  offices aren't taking Medicaid for the most part other than already overburdened FQHCs.  Kaiser got a nice cushy contract with the state to supply Medicaid coverage, but patients already in the Kaiser system already struggle to get in with their PCPs and if they need a specialist it's an added struggle. When I did locums last year I paid for kaiser. I was not able to get into a primary and kaiser refused to pay for my adhd medication because I didn't have a kaiser psychiatrist, which likely would have taken over a year to establish. I certainly felt like I was cheated out of thousands of dollars, paying a monthly premium for insurance and not even being able to access services, but I can't say i was particularly surprised. The public as a whole seems to be absolutely blindsided when they really need medical care and get turned away at every corner because there aren't enough doctors to take care of them and none of the hospitals in the area want to deal with their insurance.",Yes
"I worked on a med/surg floor for about 5 yrs.  Saw a lot of admissions from nursing homes.  It was never necessary to know which one they came from, from a medical point of view, but there were definitely a few facilities that became infamous for the condition the patient would be in.  These patients were always the sickest, the dirtiest, untreated and undocumented bed sores and, possibly bed bugs or roaches. One facility even got the nickname ""Gateway to Heaven"" from staff because of the blatant lack of care their residents received.",Yes
"I'm not sure. I haven't witnessed any as a nurse. Before I became a nurse, I was patient. And then, as a nurse, I had an adenomyosis. My doctor was not aware that I was a nurse.

My experience with a female doctor was a nightmaremonths and months of being tormented with pain around my menstrual cycle. I wasn't sure why she was this way. She was my OBGYN who didn't want to prescribe me contraception but would instead order narcotic medication I didn't like. I explained to her I could not have this medication based on my experience with its side effects.  I don't like being drowsy and would get stomach pain. I'm not too fond of the feeling of it. Anyway, she sent me for a vaginal ultrasound to find the source of my pelvic pain. It was normal.  She stopped here. I asked for the pill. She declined to renew it after 12-month of supply. I felt a lot better with this, so I stuck with it.

I found a male OBGYN. He diagnosed me with adenomyosis. It was a tiny part of my uterus that got affected. It hurt like hell. The doctor told me that if contraception didn't work, surgery would be the last choice if I wanted to get rid of the pain. My life has been great since I started taking pills regularly. I don't miss darn periods and certainly do not forget my pill. The pain was unbearable.",Yes
"No, the bill rate is wildly inflated because if you overbill insurance pays you the max amount and you can bill the patient the rest.

If you underbill, insurance pays you that amount and you lose x-extra amount. So to get the ""max"" money you always have to overbill. BEcause hospitals don't have these neat nice insurance agreements like you want.",No
"Don't write stupid shit like provide a sandwich on your ED orders - it's demeaning af. Find out where the pantry is and provide it yourself, call it building a patient-physician relationship. 


Don't put down an order sheet and then come back every 5 mins to add more. Collect your thoughts. We have 4+ other patients, we don't have time to stay with one patient with you while you tick off items in your plan of care one order at a time. 


Respect your experienced nurses. Ask them their thoughts. Say things like so, how bad is it? How do they look what do you think about... Don't be afraid to share your thoughts, or how you would assess certain things. Everyone wants to learn and improve, especially emerg nurses. 


Good luck :)",Yes
"Minimum wage doesn't lend itself well to doctor shopping. The reason your disheveled patient may be agitated can easily be attributed to:  literal pain, loss of time of work, having to arrange for travel. They are more likely to ""wait it out"". The office visit = gas, the medication = groceries. So to be to withstand so much before you seek care and the sacrifice you must make to present for medical care to be denied it arbitrarily based on the mood/bias of the doctor you see that day...  I don't know how to not be in pain in America right now.",No
"Alcohol-consumption favors thiamine defficiency. 

Alcohol withdrawal often happens in psychiatric hospitals, where patients are closely monitored. 

So, its probably a statistical overrepresentation of alcoholics in withdrawal state, as they are monitored more closely.",No
">Legit question, why?

Because it's disingenuous and irresponsible to pretend that lexapro and dilaudid have identical risk profiles, whether for typical use or severity of withdrawal symptoms.

>SSRI's cause withdrawal too but you are ok with that?

yes? Why wouldn't I be? SSRI withdrawal is far easier to prevent/taper than opioid withdrawal. And the morbidity from SSRI withdrawal is far less severe than with opioid withdrawal.

>now it's pounded into everyone's head that it's going to make everyone an addict.

Agreed. MDs are too scared of opioids.

>But again not everyone that is on an opioid medication is misusing it

Agree, and I never said they were.

>even if there is chemical dependence that is just the nature of some medications.

And it is the nature of some medications that the *degree* of chemical dependence is far higher than it is with other meds.

I think you've misread me as an opioid gatekeeper. When really my point was, you can't throw all dependencies into the same category and dismiss them or accept them on the same terms. Some patients are dependent on opioids in a negative way, others are dependent in a positive way (or at least in a neutral way). Replace ""opioids"" with ""SSRIs"" and that statement is still true. *However,* all the data we have (and our best understanding of neurochemical pathways), tells us that opioid dependence is much more *relatively* dangerous than SSRI dependence.

Like i said, the more philosophical question of whether America is focused on the wrong dependencies, is entirely valid and worth discussing. But it's a different question from whether certain dependencies are more medically dangerous than others.",No
"in Canada the gender split for family physicians is 50/50.

  
and THEN there are all the other issues",No
"Welcome to the ED and thanks for asking this. 

I love learning. I was always vocal about that and being so meant a lot of docs would grab me to help with interesting things. Be open to letting those that are curious have opportunities to grow. 
It's a great opportunity to mentor if you're into that at all. 

Do your best to lead with kindness. 

Champion mental health for all of us, including you. 

Reassure the rookies with confidence, humor, and support. 

Communicate. Really important to stay in the loop when we're interacting much more with individual patients and families. 

Know when to ask for help and demand the same from your nurses. 

Good luck!",No
"From a practical medical standpoint, I agree it's probably not all that important. Particularly if the patient is hypoglycemic. But from a CYA standpoint, it's considered standard of care and could create legal issues.",Yes
"Ok. As a medical doctor, if I ever had to go through alcohol withdrawal, I would not want it to be managed by a psychiatrist. It warrants medical supervision. Of course there is some mild withdrawal that can be managed in an outpatient setting, but if it makes you sick enough to be in a hospital, you should be in a medical unit and may even require telemetry.",No
"If he was an organ donor then why was he even sent to the morgue? We keep ours, as we are supposed to, on the vent until they get into surgery to remove the organs otherwise you risk rapid cell death in those organs. Especially, too, if holding the patient for family. They should've been able to walk to the surgical suite doors with their loved one. I've never seen an organ donor not be on a vent as the drs usually don't remove them immediately after death. They are planned surgeries. Unless there is a rush for an organ, that is. Do they not do this anymore and, if not, why? Are the docs getting to the organ donors quickly after death? Hmmm. I can't see where cell death would not occur without oxygen circulating.",Yes
"Ableism absolutely is a problem. And it is a shame, because there are a lot of people who would make excellent, intelligent, and empathic healthcare providers if training programs were accessible and just more humane.    
  
I think privilege is an issue as well, and that's something that isn't necessarily discussed and it's something we can be completely unaware of despite good intentions. We can say ""I'm not biased!"" while being ignorant of privilege. In my own case, when I was pregnant in grad school, the linguistics and anthropology departments I was in worked closely with some of the med school professors (20+ years ago they were trying to design ""virtual patients"" for the med school, and there were MD/PhD programs in med anth and public health, as well). So I was introduced to my maternal-fetal medicine specialist by first name and treated collegially in a way that I had no idea wasn't normal--I had nothing to compare it to. Over a decade later, when I returned to grad school to focus more on bio anth/evolutionary medicine and related my story, which included teasing banter with the geneticist and sh!t like that, during a discussion of birth trauma, the professor basically jumped down my throat, and I was humbled--which was fine with me! I love learning new things, and I have no problem being wrong. But she basically used my experience as a jumping off point to talk about socioeconomic disparities to obstetric care, and lit my fuse as a social justice warrior. Some things we just don't see until someone points them out to us--and all the bias training in the world won't help us see our own privilege until we are open to seeing it.

And I think that comes back to what you're saying about ableism. People who can pull 48 hour shifts \[or can they? really?\] may not realize that that is privilege, not the norm, not something to measure others by.",No
"I actually begged to be transferred to the pediatric side of the hospital because I'd had several hospital stays on that side and was never treated that way. Unfortunately my injuries and being so close to 18 made me an adult case, so I was just made to lay in my own bloody mess until that nurse came along. She actually made sure my linens got changed the same day by advocating for physical therapy to get me out of bed and it made me feel so much better in such a bad scenario. She was my first glimmer of hope in a dark time.",No
Some  insurance company has my hospitalist group listed as infectious disease. We get calls everyday looking to set up care and have to tell them we're an inpatient medical group. Our coordinator has spent about 6 years attempting to fix this to no avail.,Yes
"This was my thought. It absolutely happens in rural medicine. I literally field these patients almost every day I work. Sometimes it's legit no one worked them up, sometimes the patients are legit dramatic and have their story wrong. Trying to decipher which is which can be, interesting at times. 

Not sure if city, metro area type docs are similar or not",No
Did you get a training period? If not I'd ask to be properly trained because you not knowing what you're doing (due to lack of support) is going to affect your patients. Either they train you or find a new job.,No
"For something this unbelievably extreme, I am having so much trouble wrapping my head around the *why...* since it is so far beyond just incompetence... clearly I am intellectualizing as a coping technique since in the first post about this I figured there had to be more to the story that explained why certain anatomical anomalies could be present to make it more in the range of incompetent but not full on crazy. Outside of substance abuse,  which makes sense, what else? Acute psychosis (maybe a manic episode with psychosis to explain the grandiosity of insisting the liver was a spleen to pathology), with but early enough in the psychosis to not appear frankly psychotic? Some other acute psychosis? Something neuropsychiatric like maybe early Huntington's or Lewy Body? I don't work in neuropsych, but the craziness of it reminded me of the case of Dr. Benjamin Gilmer (great This American Life podcast episode [Dr. Gilmer and Mr. Hyde](https://www.thisamericanlife.org/492/dr-gilmer-and-mr-hyde). 

The big clue here is that staff agreed to work with him that day so even if he was kinda sketchy at baseline, it couldn't have been anything close to this, AND it sounds like they were somewhat paralyzed in the moment by the complete shock and unbelievability of what was happening- so yeah, I all I can come up with is a lot of meth or some other drug(s), acute early psychosis, or an undiagnosed neuropsychiatric condition. I guess the horse in this scenario is probably a lot of meth/drugs. Just... wow.",Yes
"I really feel for that OR staff. How traumatizing to have watched all of that happen.

This case is insane.

He also accidently removed part of a pancreas from another patient instead of the right adrenal gland. Wild.",Yes
I'm not a nurse but nearly all of my friends are. Every single one of them have told me a med error story. It happens to everyone.  You did the right thing by reporting it and checking for allergies. This is going to stick in your mind the rest of your career and you'll be a better nurse because of it. From a chronically ill patient- thank you guys for everything you do!,No
"I was my hospital's go-to guy for cognitive assessment of possibly impaired docs and employees.  I've heard several similar stories, but in each case other people--usually nurses-- intervened BEFORE the serious mistake was made.  Granted, I've only had one job for the past 30 years, but it's been decades since I've been in or heard of an OR where hierarchy prevented anyone present from speaking up when they saw something amiss.  There is something seriously wrong in the culture of that hospital.",Yes
"I've worked in colorectal surgery for 10 years and have supported 5 surgeons to varying degrees over the years.  2 of them have been absolute delights and I could bet money on how they would manage their patients. 2 of them were a-holes, but again you'd be done with clinic by 3 pm and practiced reliably the same.  1 surgeon treated every patient uniquely, you could never anticipate what she would want, and she had a deep martyr complex.  Depending on the other interactions she had that day, you may get cookies or you may get the silent treatment or maybe you get yelled at in front of a patient.  I finally left the group for a non-surgical specialty and I have no clue what to expect bc my whole career I've been surrounded by surgeons.",Yes
"I think people wrongly believe that their ""pain"" needs to be exaggerated to get some attention or prioritization.  Not making a statement about the system here - just speculating.  I do not personally do this.  I've had some pretty bad pain as of late but wouldn't classify it north of a 5 even though it is impacting sleep and scaring me as to what it is. When doctors or nurses clarify that 10/10 is the worst pain I've ever felt, the pain I'm there for is NEVER that bad (flipping in a golf cart several times down a mountain, breaking ribs in a rugby match, etc).  But, I think a lot of people are responding to how impacted they are in the lives by whatever issue is at play.  I suspect folks posing the question need to have some examples, like a 5 is when you miss the nail and hit your thumb wiht a hammer, or 3 is a wasp sting.  When someone tells you their stomach pain is a 9 or 10, you say ok so this is you gearing up to give birth type of pain?",No
"Male (former) ICU nurse with a large beard here. I think making assumptions about other people bodies, and what they want it to look like, is definitely a bad idea. Shaving largely a US/western practice. Many people see hair as a religious or cultural belief. Also, what families and other nurses like is irrelevant. What matters is the patient's preference. If you don't know what it is then I wouldn't impose my personal beliefs on them. Also, my wife would drop kick a nurse across the unit if someone shaved my beard. Ha",Yes
"Also, there are formal medicolegal definitions of what comprises a patient-physician relationship, and telling your spouse to take an OTC NSAID, regardless of your licensure status, does not qualify. This is some juvenile tehehe I could get a speeding ticket because I flew on an airplane going 250mph going over a stretch of I95 where the limit is 70 nonsense.",Yes
"Depends on the job. There are Psych positions with 0 physical demands. On the other end of the spectrum there is Ortho, but likely still not as high as paramedic. In the OR, you'll have to stand for several hours a day, help transfer patients, pull hard on retractors, etc. I'm in Ortho and I could probably do it until my goal retirement age of 62 considering there are surgeon operating into their 70s. However, I did have to start working out because of the demands of doing reductions and such.

However, given you already have a 6 figure desk job with good benefits, I couldn't recommend you go back to PA school. Sure you can make a bit more money, but you'll be spending at least 100K for school, and losing 300-500K in your current wages and benefits while in PA school. I don't think you could catch up financially, and even if you could I don't think it's worth the effort.",No
"This sounds like a big mess long before the liver came out. Can someone tell me what the real idea was for the surgery?

Why didn't anyone anticipate the mega colon? The colon would be pretty obvious on pre-op X-rays. The abdomen would be distended.

The picture I get, you slice open the abdomen and colon comes spilling out like party balloons. How do you see anything?

Then you dissect out the wrong vessel and transect the IVC. The field immediately fills up with blood and the patient codes. You can't see anything, but now you are up to your elbows in distended colon swimming in a pit of blood. They are doing CPR. Everything is sloshing back and forth. You don't have enough suction to get ahead.

Removing the liver is a post mortem event. You already killed the patient at the IVC laceration. Take out anything you want.",No
"Someone still trying to point the finger my way, I'm sure.

""Blood loss would have been less extreme if anesthesia kept BP lower.""

I wish I was being facetious. A spine surgeon documented this and told something to that effect to the family after he put a screw through the common iliac and killed a patient.",Yes
"The pay is not just for the work, but for the knowledge and experience, which NPs certainly can't remotely compare to physicians.",No
"What're the medical tropes you see that make you laugh or just get your goat?

I've been binge-watching ""The Mentalist"" -- in one episode, he knows someone's not a doctor because their handwriting is legible, and, in another, IDs a victim as a doc by their crappy handwriting. And i felt called out.",No
"Admitting a transfer patient with an irate borderline belligerent mother, granted it was 2AM but the icu was out of beds and this patient was the most stable to transfer out so they could take a trauma. The mom complaining this is bullshit the doctor himself won't even come see me I'm reporting everybody there's no reason I don't care that somebody else needed his room they should have figured it out. Me knowing the doctor is 4 rooms over trying to keep a patient alive long enough to save the organs to be donated and the family to say goodbye, knowing that's why the doctor refused to tell her himself and why they needed the bed.",Yes
We had a patient that got Wernike encephalopaty after a cancer gastrectomy...so it checks all the boxes of restrictive diet + thiamine deplection in a malnourished patient ,Yes
